rank,name,score,country,year,category,votes,quote,douban_url,enable_urls
116,甜蜜蜜,8.9,中国香港,1996,剧情;爱情,535955,相逢只要一瞬间，等待却像是一辈子。,https://movie.douban.com/subject/1305164/,http%3A%2F%2Fwww.iqiyi.com%2Fv_pr1emqqqzw.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Frur37shpkgmze3o.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss44559%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=ce875666f6
117,天使爱美丽,8.7,法国 德国,2001,剧情;喜剧;爱情,944677,法式小清新。 ,https://movie.douban.com/subject/1292215/,https%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XODQ5OTc4Mjc2.html&subtype=3&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fo9ltjk5yc26z6w9.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video
118,阳光灿烂的日子,8.9,中国大陆 中国香港,1994,剧情;爱情,603354,一场华丽的意淫。,https://movie.douban.com/subject/1291875/,
119,小森林,9.0,日本,2014,剧情,417518,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fyz98ta4nfjtaa6q.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video
120,完美的世界,9.1,美国,1993,剧情;犯罪,307841,坏人的好总是比好人的好来得更感人。,https://movie.douban.com/subject/1300992/,http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrg3oa5o.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNTkyNDY5Mzg4.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F68m6s2drn3o4bjz.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss32424%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=460598dafc
121,借东西的小人阿莉埃蒂,8.9,日本,2010,动画;奇幻;冒险,540988,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/,
122,无人知晓,9.1,日本,2004,剧情,311365,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/,
123,消失的爱人,8.7,美国,2014,剧情;犯罪;悬疑;惊悚,914250,年度最佳date movie。,https://movie.douban.com/subject/21318488/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fadm0sa2o83jta0u.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rro18qig.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss39265%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=66535e81f8
124,倩女幽魂,8.8,中国香港,1987,爱情;奇幻;武侠;古装,721278,两张绝世的脸。 ,https://movie.douban.com/subject/1297447/,http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrk60uus.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fifkyvtji4a4a5hl.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video
125,寄生虫,8.8,韩国,2019,剧情,1341816,,https://movie.douban.com/subject/27010768/,
126,侧耳倾听,8.9,日本,1995,剧情;爱情;动画,452382,少女情怀总是诗。,https://movie.douban.com/subject/1297052/,
127,小森林,9.0,日本,2015,剧情,372813,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/,
128,时空恋旅人,8.8,英国,2013,喜剧;爱情;奇幻,648363,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fg6nvv8jt1y04hu6.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F80cP1bph6Y5%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=87c43453ff
129,幸福终点站,8.8,美国,2004,喜剧;剧情;爱情,557438,有时候幸福需要等一等。 ,https://movie.douban.com/subject/1292274/,
130,驯龙高手,8.8,美国,2010,动画;奇幻;冒险,741536,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/,https%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMTMyMzkyMDE0MA%3D%3D.html&subtype=3&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrmugvis.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F3imeqzq7nzw130g.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video
131,教父3,9.0,美国,1990,剧情;犯罪,365115,任何信念的力量，都无法改变命运。,https://movie.douban.com/subject/1294240/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D714206279%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=355035c216;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fblfbj7c9g9zzts9.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMTMyMzk1MTY4MA%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrk408h8.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss26428%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=355035c216
132,萤火之森,8.9,日本,2011,剧情;爱情;动画;奇幻,525600,触不到的恋人。,https://movie.douban.com/subject/5989818/,http%3A%2F%2Fv.qq.com%2Fx%2Fpage%2Fd003434mept.html%3Fptag%3Ddouban.cartoon&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrk7o740.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fep269127%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=0df2160400
133,一个叫欧维的男人决定去死,8.9,瑞典,2015,剧情,465527,惠及一生的美丽。,https://movie.douban.com/subject/26628357/,http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMjUyNjM5ODg2NA%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video
134,未麻的部屋,9.1,日本,1997,动画;奇幻;惊悚,322273,好的剧本是，就算你猜到了结局也猜不到全部。,https://movie.douban.com/subject/1395091/,
135,怪兽电力公司,8.8,美国,2001,儿童;喜剧;动画;奇幻;冒险,654632,不要给它起名字，起了名字就有感情了。,https://movie.douban.com/subject/1291579/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D700595386%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=a2b6a66b0c;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fuehcx261b1aqs3t.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMTQxOTc2NzgyMA%3D%3D.html%3Fspm%3Da2h0c.8166622.PhoneSokuProgram_1.3%26lang%3D%25E8%258B%25B1%25E8%25AF%25AD%26s%3Dcbfb1b78962411de83b1&subtype=3&type=online-video
136,哈利·波特与火焰杯,8.8,英国 美国,2005,悬疑;奇幻;冒险,640701,,https://movie.douban.com/subject/1309055/,
137,玩具总动员3,8.9,美国,2010,喜剧;动画;奇幻;冒险,503189,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/,
138,傲慢与偏见,8.7,法国 英国 美国,2005,剧情;爱情,779476,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/,
139,釜山行,8.6,韩国,2016,动作;惊悚;灾难,1174460,揭露人性的丧尸题材力作。,https://movie.douban.com/subject/25986180/,
140,神偷奶爸,8.7,美国 法国,2010,喜剧;动画;冒险,930529,Mr. I Don't Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Foylsefopm3zevpj.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rri0b9eg.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F8yNWm0b65tw%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=cbea36b0c7
141,新世界,8.9,韩国,2013,剧情;犯罪,419647,要做就做得狠一点，这样才能活下去。,https://movie.douban.com/subject/10437779/,http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrgz4do4.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video
142,玛丽和马克思,9.0,澳大利亚 美国,2009,剧情;喜剧;动画,416481,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D624315002%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=db17f9d102;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fb49nto261rv2a14.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F89LGec2V36M%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=db17f9d102
143,被解救的姜戈,8.8,美国,2012,剧情;动作;西部;冒险,596347,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/,
144,告白,8.8,日本,2010,剧情;悬疑,661463,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/,
145,大鱼,8.8,美国,2003,剧情;家庭;奇幻;冒险,559053,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://movie.douban.com/subject/1291545/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmbtiy3litj9olls.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrk2zt34.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;https%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNDM4NjAxMDQw.html%3Fspm%3Da2h0c.8166622.PhoneSokuProgram_1.3%26s%3Dcc00e7a6962411de83b1&subtype=3&type=online-video;http%3A%2F%2Fvip.1905.com%2Fplay%2F1276316.shtml%3F__hz%3D6e0721b2c6977135%26api_source%3Ddouban_vodadd&subtype=13&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss33372%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=4f35ed624d
146,哪吒闹海,9.2,中国大陆,1979,冒险;动画;奇幻,253159,想你时你在闹海。,https://movie.douban.com/subject/1307315/,
147,射雕英雄传之东成西就,8.7,中国香港,1993,喜剧;奇幻;武侠;古装,623710,百看不厌。 ,https://movie.douban.com/subject/1316510/,
148,阳光姐妹淘,8.8,韩国,2011,剧情;喜剧,582627,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://movie.douban.com/subject/4917726/,
149,头号玩家,8.7,美国,2018,动作;科幻;冒险,1342417,写给影迷，动漫迷和游戏迷的一封情书。,https://movie.douban.com/subject/4920389/,
150,喜宴,9.0,中国台湾 美国,1993,剧情;喜剧;爱情;同性;家庭,352970,中国家庭的喜怒哀乐忍。,https://movie.douban.com/subject/1303037/,
151,我是山姆,9.0,美国,2001,剧情;家庭,331243,爱并不需要智商 。,https://movie.douban.com/subject/1306861/,http%3A%2F%2Fwww.iqiyi.com%2Fv_19rra63ny4.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;https%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNzU1MDg4MzE2.html%3Fspm%3Da2h0c.8166622.PhoneSokuProgram_1.3%26s%3Dfa203f308d8811e0a046&subtype=3&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fvox06nwx47wuy5t.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video
152,模仿游戏,8.8,英国 美国,2014,剧情;传记;战争;同性,633619,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/,http%3A%2F%2Fwww.iqiyi.com%2Fv_19rr7q0w6o.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMTUyMTY4MzExMg%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F05indq2c5sbleih.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss41652%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=2aa1234d81;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F8q4G9iNdyZn%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=2aa1234d81
153,恐怖直播,8.7,韩国,2013,剧情;犯罪;悬疑,639785,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/,
154,血战钢锯岭,8.7,澳大利亚 美国,2016,剧情;传记;历史;战争,770322,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://movie.douban.com/subject/26325320/,
155,花样年华,8.7,中国香港,2000,剧情;爱情,592523,偷情本没有这样美。,https://movie.douban.com/subject/1291557/,
156,九品芝麻官,8.7,中国香港 中国大陆,1994,剧情;喜剧;古装,658188,,https://movie.douban.com/subject/1297518/,
157,七武士,9.3,日本,1954,动作;冒险;剧情,193228,时代悲歌。,https://movie.douban.com/subject/1295399/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F3pivbj7bkp6zcr6.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMzQ3NzA5OTA0.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrj5yx0s.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;https%3A%2F%2Fwww.1905.com%2Fvod%2Fplay%2F1391172.shtml%3F__hz%3D6e0721b2c6977135%26api_source%3Ddouban_vodadd&subtype=13&type=online-video&link2key=afb0262805;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss28594%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=afb0262805
158,茶馆,9.5,中国大陆,1982(中国大陆),剧情;历史,135962,,https://movie.douban.com/subject/1461403/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Flw7tt45cgl3rnhd.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss39921%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=0c9c0f0c13;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F8kJaYGpL50r%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=0c9c0f0c13;https%3A%2F%2Fwww.1905.com%2Fvod%2Fplay%2F1581457.shtml%3F__hz%3D6e0721b2c6977135%26api_source%3Ddouban_vodadd&subtype=13&type=online-video&link2key=0c9c0f0c13
159,头脑特工队,8.8,美国,2015,喜剧;动画;冒险,596877,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D700911818%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=5fb430a73c;http%3A%2F%2Fwww.mgtv.com%2Fb%2F331663%2F6354121.html%3Fcxid%3Dvb4rv4jhk&subtype=7&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F7m14vtdrrg3xr78.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F84YjnxOESSy%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=5fb430a73c
160,色，戒,8.6,中国台湾 中国大陆 美国 中国香港,2007,剧情;爱情;情色,779598,假戏真情，爱欲深海,https://movie.douban.com/subject/1828115/,
161,黑客帝国3：矩阵革命,8.8,美国,2003,动作;科幻,438325,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,https://movie.douban.com/subject/1302467/,
162,惊魂记,9.0,美国,1960,悬疑;惊悚;恐怖,284220,故事的反转与反转，分裂电影的始祖。,https://movie.douban.com/subject/1293181/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D677510560%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=f0c2773e1a;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fkjq5ifgszrcgrlq.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrho5bs8.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss28923%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=f0c2773e1a;http%3A%2F%2Fvip.1905.com%2Fplay%2F1334594.shtml%3F__hz%3D6e0721b2c6977135%26api_source%3Ddouban_vodadd&subtype=13&type=online-video;https%3A%2F%2Fw.yangshipin.cn%2Fvideo%3Ftype%3D0%26vid%3Dr000075h1bn%26channel%3Ddouban_laxin%26channel_origin%3Dm_h5&subtype=21&type=online-video&link2key=f0c2773e1a
163,你的名字。,8.5,日本,2016,剧情;爱情;动画,1377308,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://movie.douban.com/subject/26683290/,
164,电锯惊魂,8.8,美国,2004,悬疑;惊悚;恐怖,520207,真相就在眼前。,https://movie.douban.com/subject/1417598/,
165,三块广告牌,8.7,英国 美国,2017,剧情;犯罪,805887,怼天怼地，你走后，她与世界为敌。,https://movie.douban.com/subject/26611804/,
166,达拉斯买家俱乐部,8.8,美国,2013,剧情;传记;同性,444040,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D676972065%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=dc994cfcb8;http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNjc4OTY1NTYw.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Frp2fmb4gr8wcth6.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F7NXazgrddw8%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=dc994cfcb8
167,疯狂原始人,8.7,美国,2013,喜剧;动画;冒险,823315,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D725078140%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=169f2e4893;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fm4ry5h1naszjlzh.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrfxbhco.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss42300%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=169f2e4893;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F8yJO9YB2Iav%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=169f2e4893
168,心迷宫,8.7,中国大陆,2014,剧情;犯罪;悬疑,508338,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/,http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMTQxMTcxNTM5Ng%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video;https%3A%2F%2Fwww.1905.com%2Fvod%2Fplay%2F972007.shtml%3F__hz%3D6e0721b2c6977135%26api_source%3Ddouban_vodadd&subtype=13&type=online-video&link2key=30921bedee
169,卢旺达饭店,8.9,英国 南非 意大利 美国,2004,剧情;传记;历史;战争,323076,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/,
170,上帝之城,9.0,巴西 法国,2002,犯罪;剧情,296477,被上帝抛弃了的上帝之城。,https://movie.douban.com/subject/1292208/,
171,谍影重重3,8.8,美国 德国 法国 英国,2007,动作;悬疑;惊悚,409683,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/,
172,英雄本色,8.6,中国香港,1986,剧情;动作;犯罪,527547,英雄泪短，兄弟情长。 ,https://movie.douban.com/subject/1297574/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fr3m3bpm2cyjpf1e.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrk65luk.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F8bfNRnDDdEb%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=693845fae0
173,纵横四海,8.8,中国香港,1991,剧情;喜剧;动作;犯罪,415702,香港浪漫主义警匪动作片的巅峰之作。,https://movie.douban.com/subject/1295409/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fx7dra43dggxthim.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video
174,风之谷,8.9,日本,1984,动画;奇幻;冒险,348240,动画片的圣经。,https://movie.douban.com/subject/1291585/,
175,海街日记,8.8,日本,2015,剧情;家庭,437538,是枝裕和的家庭习作。,https://movie.douban.com/subject/25895901/,
